상호,주소,위도,경도
ABC 환전,서울특별시 중구 남대문로 40,37.5604407,126.9759197
러시아환전,서울특별시 중구 마른내로 157,37.5643193,126.9973687
와이제이(YJ),서울특별시 중구 명동4길 25,37.5625879,126.9838611
88환전,서울특별시 중구 을지로44길 15-1,37.5654071,127.0065184
엠액스(MX)환전소,서울특별시 중구 명동2길 53,37.5625759,126.9840959
OK환전소,서울특별시 중구 명동8가길 6,37.5617876,126.9866639
FX.KOREA(에프엑스코리아),서울특별시 중구 명동9길 7,37.5649801,126.9844668
광희,서울특별시 중구 장충단로13길 20,37.5676735,127.0084005
골드환전소,서울특별시 중구 퇴계로75길 23,37.5660276,127.0157195
명동로사환전,서울특별시 중구 삼일대로 305,37.5589046,126.9918561
동경환전,서울특별시 중구 남대문시장4길 48,37.5589236,126.9764402
동경환전,서울특별시 중구 남대문로 76,37.5604407,126.9759197
체코환전,서울특별시 중구 장충단로 275,37.56866205,127.00871843983305
신세계환전소,서울특별시 중구 소공로 64,37.5597632,126.982249
동양환전,서울특별시 중구 소공로6길 24,37.5583786,126.9839095
그린환전소,서울특별시 중구 다산로47길 42,37.5665972,127.0144838
조이환전,서울특별시 중구 퇴계로8길 5,37.5565183,126.9794832
승리환전소,서울특별시 중구 퇴계로73길 54-43,37.5665388,127.0139754
엠엔엠환전,서울특별시 중구 소공로 66,37.5597632,126.982249
북경환전,서울특별시 중구 퇴계로 55-1,37.5611307,126.9886656
이에스환전소,서울특별시 중구 명동10길 23,37.5631893,126.9855903
머니박스,서울특별시 중구 장충단로 247,37.5667161,127.00753773123571
명동하나로환전,서울특별시 중구 명동8나길 9,37.5612835,126.9831326
대사관환전 Ⅱ,서울특별시 중구 명동10길 19-3,37.5631893,126.9855903
이화환전,서울특별시 중구 을지로 218,37.565877,126.9802901
대박환전소,서울특별시 중구 장충단로8길 64,37.5631233,127.0096418
우의환전,서울특별시 중구 퇴계로75길 7,37.56571185,127.01546186394597
명동국제환전,서울특별시 중구 명동8나길 14,37.5612835,126.9831326
한양환전소,서울특별시 중구 명동9길 23,37.564853799999995,126.98444392673022
서울환전,서울특별시 중구 명동2길 52,37.5621072,126.982687
뉴스NEWS,서울특별시 중구 퇴계로10길 16-1,37.5586497,126.9806205
우진상품권,서울특별시 중구 남대문로7길 11,37.5637679,126.9816538
고래환전,서울특별시 중구 명동길 49,37.5638495,126.9851142
88환전소,서울특별시 중구 장충단로 226-5,37.5652914,127.007511
초이스 환전,서울특별시 중구 충무로 21,37.5674541,126.9925184
우리환전,서울특별시 중구 퇴계로73길 23,37.5665388,127.0139754
신세계,서울특별시 중구 퇴계로73길 54-20,37.5665388,127.0139754
명동스카이환전,서울특별시 중구 남대문로 52-13,37.5604407,126.9759197
이지 환전,서울특별시 중구 남대문로 58-1,37.5604945,126.9751716
해천환전소,서울특별시 중구 남대문로 62,37.5604407,126.9759197
우성환전소,서울특별시 중구 퇴계로 301,37.5596957,126.9809292
미래사,서울특별시 중구 남대문로 72,37.5604407,126.9759197
대양환전소,서울특별시 중구 퇴계로 248,37.5596957,126.9809292
통원국제무역,서울특별시 중구 명동2길 57,37.5621072,126.982687
미니회사,서울특별시 중구 퇴계로73길 54-14,37.5665388,127.0139754
홍콩환전,서울특별시 중구 남대문로 64-1,37.5604945,126.9751716
딸기 환전소,서울특별시 중구 퇴계로73길 42,37.5665388,127.0139754
삼일환전소,서울특별시 중구 명동10길 55,37.5631893,126.9855903
모닝환전&상품권,서울특별시 중구 명동4길 12-1,37.5625879,126.9838611
케이환전,서울특별시 중구 명동8길 38-12,37.5619344,126.9844196
핫수지&바른,서울특별시 중구 마장로 28,37.5683615,127.0107085
보보환전,서울특별시 중구 다산로47길 30,37.5665972,127.0144838
고고환전소,서울특별시 중구 남대문로 66-1,37.5604945,126.9751716
대사관제일환전소,서울특별시 중구 명동2길 56-1,37.5621072,126.982687
롯데앞상품권,서울특별시 중구 남대문로 74,37.5604407,126.9759197
세종환전,서울특별시 중구 퇴계로 141,37.5596957,126.9809292
명동환전소,서울특별시 중구 을지로 54-1,37.56588045,126.98378635
(주)조선호텔앤리조트,서울특별시 중구 소공로 106,37.5650076,126.9796692988889
(주)서울프린스호텔,서울특별시 중구 퇴계로 130,37.5596957,126.9809292
(주)호텔롯데,서울특별시 중구 을지로 30,37.56525545,126.98062537406909
디에스디엘(주),서울특별시 중구 통일로 78,37.5572801,126.9722447
에이블현대호텔앤리조트,서울특별시 중구 장충단로 60,37.5601768,127.005621
주식회사 메트로호텔,서울특별시 중구 명동9가길 14,37.5649181,126.9834904
나인트리호텔 명동,서울특별시 중구 명동10길 51,37.5615093,126.9860123
엘케이관광(주),서울특별시 중구 명동8가길 38,37.5617876,126.9866639
디에스디엘 주식회사,서울특별시 중구 세종대로 58,37.5644624,126.977128
봉우물산 주식회사,서울특별시 중구 장충단로 198,37.5601768,127.005621
주)호텔명동,서울특별시 중구 남대문시장길 61,37.5607198,126.9793989
명보 빌딩 Days Hotel Myeongdong,서울특별시 중구 퇴계로 107,37.5596957,126.9809292
(주)서한관광개발 이비스 스타일 앰배서더 서울 명동호텔,서울특별시 중구 삼일대로 302,37.56166205,126.98933274685976
(주)청산물산,서울특별시 중구 충무로 23-1,37.5674541,126.9925184
호텔 크레토,서울특별시 중구 명동8가길 53,37.5617876,126.9866639
타오여행 주식회사,서울특별시 중구 동호로 235-14,37.5525369,127.0124355
솔라리아 니시테츠 호텔 서울 명동,서울특별시 중구 명동8길 27,37.5619344,126.9844196
석광산업(주),서울특별시 중구 동호로35길 5,37.5662957,127.0015234
(주)호텔롯데 롯데시티호텔 명동,서울특별시 중구 삼일대로 362,37.5589046,126.9918561
아칼호텔매니지먼트코리아 유한회사,서울특별시 중구 동호로 359,37.5525369,127.0124355
(주)명동조은호텔,서울특별시 중구 퇴계로 115,37.5610311,126.984686
(주)한주홀딩스코리아,서울특별시 중구 명동 7-13 ,37.5613134,126.98508610022687
