시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,9,"30,000",170,13,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,9,"30,000",170,13,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,9,"30,000",170,13,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,9,"30,000",170,13,2012,만리재로33길 21,202205~202405,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,11,"65,000",60,14,2012,만리재로33길 21,202206~202406,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,11,"65,000",60,14,2012,만리재로33길 21,202206~202406,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9846,202205,12,"80,000",0,3,2012,만리재로33길 21,202206~202406,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,13,"6,000",200,8,2012,만리재로33길 21,202205~202405,갱신,사용,"6,000",190
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9788,202205,14,"65,000",0,5,2012,만리재로33길 21,202206~202406,갱신,-,"60,000",0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202205,21,"56,500",35,3,2012,만리재로33길 21,202207~202407,갱신,사용,"55,000",30
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9566,202205,28,"80,000",0,11,2012,만리재로33길 21,202208~202408,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9866,202206,16,"67,200",0,13,2012,만리재로33길 21,202206~202406,갱신,사용,"64,000",0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9581,202207,12,"72,700",0,13,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202207,18,"5,000",317,2,2012,만리재로33길 21,202209~202409,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9566,202209,6,"80,000",0,9,2012,만리재로33길 21,202210~202410,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202209,17,"7,000",300,4,2012,만리재로33길 21,202210~202409,신규,-,0,0
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,전세,84.9866,202210,18,"70,000",0,6,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,월세,84.9866,202211,19,"65,000",20,5,2012,만리재로33길 21,-,-,-,,
서울특별시 중구 만리동1가,Nov-56,56,11,SY파크힐,전세,95.85,202209,19,"51,000",0,2,2005,만리재로37길 49,202210~202409,갱신,-,"46,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,월세,73.86,202201,24,"10,000",140,10,2005,만리재로 193,202202~202402,신규,-,0,0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202203,5,"52,500",0,12,2005,만리재로 193,202203~202403,갱신,사용,"50,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,월세,73.86,202203,11,"30,000",100,13,2005,만리재로 193,202203~202403,신규,-,0,0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202203,16,"53,000",0,14,2005,만리재로 193,202203~202403,-,-,,
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202203,26,"50,400",0,13,2005,만리재로 193,202205~202405,갱신,사용,"48,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202205,18,"51,450",0,11,2005,만리재로 193,202205~202405,갱신,사용,"49,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,56.66,202206,25,"43,000",0,10,2005,만리재로 193,202208~202408,갱신,사용,"41,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202207,15,"52,500",0,13,2005,만리재로 193,202209~202409,갱신,사용,"50,000",0
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,월세,73.86,202208,21,"5,000",180,10,2005,만리재로 193,-,-,-,,
서울특별시 중구 만리동1가,Jul-62,62,7,대우디오빌,전세,73.86,202209,23,"51,000",0,11,2005,만리재로 193,202210~202410,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9791,202201,4,"64,000",100,9,2017,만리재로 175,202202~202302,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202201,7,"75,000",0,3,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202201,7,"75,000",0,3,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202201,8,"64,000",0,6,2017,만리재로 175,202203~202403,갱신,사용,"61,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202201,8,"90,000",0,2,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.8899,202201,8,"71,400",0,13,2017,만리재로 175,202202~202402,갱신,사용,"68,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202201,11,"50,000",170,18,2017,만리재로 175,202201~202401,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202201,12,"76,500",0,7,2017,만리재로 175,202201~202401,갱신,사용,"73,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.9707,202201,13,"20,000",240,10,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202201,14,"75,000",0,2,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202201,15,"75,000",0,20,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202201,17,"57,750",0,12,2017,만리재로 175,202201~202303,갱신,사용,"55,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202201,17,"1,000",60,12,2017,만리재로 175,202201~202301,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202201,18,"85,000",0,10,2017,만리재로 175,202201~202401,갱신,-,"71,500",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202201,19,"5,000",50,13,2017,만리재로 175,202201~202401,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9791,202201,20,"77,700",0,13,2017,만리재로 175,202202~202402,갱신,사용,"74,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9791,202201,21,"99,000",0,24,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202201,22,"63,000",0,6,2017,만리재로 175,202202~202402,갱신,사용,"60,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202201,24,"40,000",150,13,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202201,24,"40,000",150,13,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9808,202201,25,"65,100",0,9,2017,만리재로 175,202202~202402,갱신,사용,"62,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.9918,202201,26,"62,000",0,22,2017,만리재로 175,202203~202302,갱신,-,"59,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202201,27,"65,100",0,5,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.943,202201,27,"5,000",250,8,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,59.9808,202201,27,"50,000",120,8,2017,만리재로 175,202201~202401,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202201,29,"40,000",100,2,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,10,"95,000",0,7,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202202,11,"82,000",0,19,2017,만리재로 175,202203~202403,신규,-,0,0
