단지명,전용면적,계약년도,계약일,위도,경도,지하철거리,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,일일가격,층_-1,층_1,층_2,층_3,층_4,층_5,층_6,층_7,층_8,층_9,층_10,층_11,층_12,층_13,층_14,층_15,층_16,층_17,층_18,층_19,층_20,층_21,층_22,층_23,층_24,층_25,층_26,층_27,층_28,층_29,층_30,층_31,층_32,층_33,층_34,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
서울역센트럴자이,72.99649999999998,2022-10-01,21,37.5547800420518,126.964458224138,546.5467807347819,2022/10/21,1431.7,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,47.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
약수하이츠,84.87999999999998,2022-04-01,25,37.5551915990934,127.016359379417,358.1312622656157,2022/04/25,1241.7,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,17.708333333333332,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
리하우스(LEEHAUS),33.997,2022-02-01,9,37.5599142889134,126.966632465339,200.555682270846,2022/02/09,1197.8,10,3,15,0,102,32,89,7,114.02735679071988,한국경제신문사.서소문역사공원,11.069444444444445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
남산롯데캐슬아이리스,113.46,2022-06-01,3,37.5582247092319,126.981744459746,310.7749620679906,2022/06/03,1251.2,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널,81.21527777777779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
남산타운,84.87999999999998,2022-02-01,14,37.5471667734011,127.005677166122,153.7732236879109,2022/02/14,1199.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,27.902777777777775,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운(임대),32.76,2022-07-01,20,37.5471667734011,127.005677166122,153.7732236879109,2022/07/20,1314.9,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,3.0619791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,84.87999999999998,2022-06-01,11,37.5471667734011,127.005677166122,153.7732236879109,2022/06/11,1257.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,30.173611111111104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
신당파인힐하나유보라,24.3931,2022-03-01,28,37.5647799977176,127.024709957671,413.01287042336577,2022/03/28,1218.3,6,0,0,0,18,7,4,22,17.8702147977542,신당파인힐하나유보라,12.006944444444445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
쌍용남산플래티넘,166.24,2022-05-01,6,37.5594119017486,126.983219915695,325.43124752086374,2022/05/06,1261.8,43,5,10,3,175,51,123,11,53.1320517975455,남산3호터널.서울애니메이션센터,53.99305555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대,83.97,2022-03-01,4,37.560504309545294,127.02297053804,642.5304144954268,2022/03/04,1203.6,3,0,1,0,27,9,13,16,145.0156737035655,금호베스트빌.래미안하이베르,25.13888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
