단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
서울역센트럴자이(임대),39.9541,202201,10,5077.0,15,-3,37.5545760844191,126.963956968884,충정로(경기대입구)역,570.352209953056,100,2022/01/10,1202.4,1,2,3,0,39,20,55,4,201.7103826031684,손기정체육공원입구
롯데캐슬,84.92,202201,10,5000.0,200,27,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/10,1202.4,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
남산트라팰리스,116.11,202201,10,20000.0,450,24,37.5539946799726,126.975612746457,서울역,300.40511873242406,54,2022/01/10,1202.4,8,5,9,0,115,37,95,8,83.49973589710727,후암삼거리
약수하이츠,32.67,202201,11,1058.0,14,9,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/11,1200.0,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
약수하이츠,32.67,202201,11,2519.0,5,9,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/11,1200.0,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
남산타운,59.94,202201,11,42000.0,5,7,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/11,1200.0,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
삼정아트테라스정동,13.8874,202201,11,3000.0,85,7,37.5632510909133,126.972031493823,시청역,300.9137610337463,514,2022/01/11,1200.0,33,13,37,1,143,42,101,11,230.68420809566103,서소문KAL빌딩
서울역센트럴자이,84.97199999999998,202201,11,50000.0,170,18,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/11,1200.0,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
동대문솔하임,19.6,202201,11,1000.0,90,17,37.5677165362185,127.016348082451,신당역,174.3397765958725,165,2022/01/11,1200.0,8,4,1,11,42,14,17,30,87.4723582497348,성동공업고등학교(무궁화회관)
약수하이츠,57.63,202201,12,33000.0,25,19,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/12,1195.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
남산타운,84.87999999999998,202201,12,10000.0,143,11,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/12,1195.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
진양상가,71.93,202201,12,2000.0,100,5,37.5624227137843,126.995931151636,충무로역,197.7903468724876,213,2022/01/12,1195.2,22,6,12,1,129,37,71,25,65.48284525938637,충무로역8번출구.대한극장앞
