정류장번호,정류장명,정류장_위도,정류장_경도
SEB100000159,원남동사거리,37.5757228,126.9982146
SEB100000165,숭인동,37.5742721,127.0204373
SEB100000169,조계사,37.5728003,126.9831609
SEB100000174,세종문화회관,37.5739496,126.9768672
SEB100000179,이화동(이화장),37.576257,127.002955
SEB100000180,상명대정문,37.6016197,126.9550207
SEB100000181,이북오도청,37.6130503,126.9558882
SEB100000188,상명대입구.세검정교회,37.5994435,126.9597921
SEB100000189,상명대입구.석파랑,37.5995718,126.9581941
SEB100000190,종로중부새마을금고,37.5724174,127.0065911
SEB100000191,신설동로터리.신한은행앞.서울풍물시장,37.574386,127.0231182
SEB100000192,청계2가.삼일교,37.5684458,126.9872214
SEB100000193,청계8가.황학교,37.5721307,127.022787
SEB100000329,광화문,37.570326,126.9738331
SEB100000330,종로1가,37.57037,126.980129
SEB100000333,종로2가,37.5699685,126.9855751
SEB100000334,종로3가,37.5705896,126.9931553
SEB100000335,종로3가,37.5701024,126.9909932
SEB100000336,종로4가,37.5704208,126.9968799
SEB100000338,동대문종합시장종로6가,37.570792,127.003206
SEB100000343,경복궁역,37.576178,126.9715056
SEB100000344,경복궁역,37.5757554,126.9713156
SEB100000345,안국역,37.5766137,126.9852296
SEB100000346,안국역,37.5763185,126.9855059
SEB100000347,창덕궁,37.5775279,126.9887919
SEB100000348,성대입구,37.5835875,126.9997033
SEB100000355,평창동삼성아파트,37.6111136,126.9787596
SEB100000360,창경궁.고궁호텔.메이플레이스호텔,37.5765581,126.9974492
SEB100000362,영천시장,37.5696103,126.9630063
SEB100000363,영천시장,37.5699391,126.9625329
SEB100000364,동묘앞,37.5737292,127.0178163
SEB100000365,동대문(흥인지문),37.5719529,127.0120461
SEB100000366,동묘앞,37.5737786,127.0184085
SEB100000367,동묘앞,37.5742434,127.019672
SEB100000368,서대문역사거리.적십자병원,37.5671081,126.9675878
SEB100000369,안국역.서울공예박물관,37.5764011,126.9847682
SEB100000370,안국역.인사동,37.5763329,126.9855365
SEB100000371,창덕궁,37.577228,126.9890031
SEB100000376,강북삼성병원,37.5681459,126.9686004
SEB100000379,서울역사박물관.경희궁앞,37.569412,126.970609
SEB100000380,서울역사박물관.경희궁앞,37.569135,126.97038
SEB100000384,광화문,37.5701354,126.9752507
SEB100000385,광화문,37.5702168,126.9780854
SEB100000386,종로1가,37.5701482,126.981066
SEB100000387,종로1가,37.570229,126.9813906
SEB100000388,종로2가,37.5701386,126.9855426
SEB100000389,종로2가,37.5702571,126.9862474
SEB100000390,종로3가.탑골공원,37.5702449,126.9895646
SEB100000391,종로3가.탑골공원,37.5703605,126.9899877
SEB100000392,종로4가.종묘,37.5705069,126.9947218
SEB100000393,종로4가.종묘,37.5706271,126.9952838
SEB100000394,종로5가.광장시장,37.5707567,126.9988498
SEB100000395,종로5가.광장시장,37.5708806,126.9993346
SEB100000396,종로6가.동대문종합시장,37.5709624,127.0034638
SEB100000397,종로6가.동대문종합시장,37.5711272,127.0057137
SEB100000398,동대문역.흥인지문,37.5723023,127.0134512
SEB100000399,동대문역JW메리어트동대문호텔,37.5703018,127.0094731
SEB100000400,청와대,37.5826848,126.97376
SEB100000401,통인시장,37.5791187,126.9713315
SEB100000402,세종문화회관,37.5721026,126.9764098
SEB100000403,인사동.탑골공원,37.5701155,126.9888006
SEB100000404,종묘.세운상가,37.5703739,126.994195
SEB100000405,광장시장,37.5706237,126.9996734
SEB100000406,동묘.숭인동도깨비시장,37.5734766,127.0180439
SEB100000407,대학로,37.5818961,127.0021204
SEB100000408,창경궁,37.5791596,126.9964163
SEB100000409,창덕궁,37.5775301,126.9901776
SEB100000410,인사동.북촌,37.575895,126.9837977
SEB100000411,경복궁.국립민속박물관,37.5802042,126.9797957
SEB100000412,세종문화회관,37.5711271,126.9764644
SEB100000413,남인사마당,37.5713191,126.9874286
SEB100000414,창덕궁.돈화문국악당,37.5773031,126.9910846
SEB100000415,국립고궁박물관,37.5787966,126.9740462
SEB100000416,청와대,37.5827467,126.9737776
SEB100000417,춘추문,37.5829107,126.9797313
SEB100000418,경복궁.국립민속박물관,37.5795319,126.9795002
SEB100900002,경진빌라,37.601864,126.9579482
SEB100900003,혜화초등학교,37.5872532,126.9998516
SEB100900004,명륜시장.성대후문,37.5887246,126.9952305
SEB100900005,오거리.한옥마을입구,37.5794963,126.9695411
SEB100900006,완성빌라,37.6033399,126.9576665
SEB100900007,삼청파출소,37.5818136,126.981251
SEB100900008,양현관,37.589768,126.9937685
SEB100900009,종로5가입구.혜화경찰서,37.5717472,126.997541
SEB100900010,상명대후문,37.6040715,126.9574633
SEB100900011,원서고개,37.5830805,126.9878088
SEB100900012,샘미용실,37.5902545,126.9934084
SEB100900013,창신쌍용2단지.한성대후문,37.5812647,127.0127581
SEB100900014,산정빌라,37.6052835,126.9575782
SEB100900015,경희궁자이2.3단지,37.5687871,126.9640686
SEB100900016,오거리,37.6070621,126.9622629
SEB100900017,국민생활관,37.5897456,126.9988619
SEB100900018,구기빌라,37.6061334,126.9579809
SEB100900019,마트앞,37.6066987,126.9587564
SEB100900020,통인시장,37.580453,126.9687504
SEB100900021,양현관,37.5897914,126.9936043
SEB100900022,국민은행.세검정지점,37.6048873,126.9607859
SEB100900024,삼청동주민센터,37.5842638,126.9819071
SEB100900025,세검초등학교,37.6042522,126.9614907
SEB100900026,빨래터.고희동미술관,37.5831008,126.9889727
SEB100900027,혜화역4번출구,37.5834632,127.0014561
SEB100900028,방송통신대앞,37.5786973,127.0019926
SEB100900029,화정박물관,37.6049806,126.9652007
SEB100900030,서울대치과대학,37.577306,126.9978748
SEB100900031,서울국제고등학교,37.5890715,126.9972902
SEB100900032,샘미용실,37.5903095,126.9932227
SEB100900033,효제초교.연동교회.김마리아활동터,37.5736413,127.0022087
SEB100900034,박노수미술관,37.5809967,126.9666034
SEB100900035,금융연수원,37.5865984,126.9815691
SEB100900036,화정박물관,37.6048011,126.9648837
SEB100900037,인사미술공간.세탁소,37.5814109,126.989367
SEB100900038,서울대치과대학,37.5776016,126.9977741
SEB100900039,낙산공원,37.5804037,127.0087215
SEB100900040,명륜3가종점,37.5909483,126.9928636
SEB100900041,수성동계곡,37.5820791,126.9642467
SEB100900042,서울대학교병원현관.암병원현관,37.5789514,126.9981567
SEB100900043,이화사거리,37.5769483,127.0020084
SEB100900044,서대문3번출구,37.566416,126.9662183
SEB100900045,통일부,37.5875948,126.9859476
SEB100900046,명륜시장.성대후문,37.588511,126.9952543
SEB100900047,평창파출소,37.6056812,126.9668167
SEB100900048,가회동주민센터,37.579939,126.9848497
SEB100900049,독립문초등학교,37.5738474,126.9607207
SEB100900050,아름다운실버,37.61201,126.9654637
SEB100900051,창덕궁,37.5760892,126.99062
SEB100900052,북촌한옥마을입구.정세권활동터,37.5815997,126.9849422
SEB100900053,청룡사.보문파크뷰자이아파트,37.5800189,127.0170071
SEB100900054,소나무집,37.611277,126.9641104
SEB100900056,경복궁,37.5769501,126.9793377
SEB100900057,종로3가.1.3.5호선,37.5710729,126.9921806
SEB100900058,안국선원.삼거리,37.5827909,126.984994
SEB100900059,사우디대사관앞.경남빌라,37.5841056,126.9850311
SEB100900060,종로센트레빌후문.e편한세상보문아파트,37.5817743,127.0161855
SEB100900061,경희궁자이4단지,37.5707022,126.9621148
SEB100900062,언덕앞,37.6089539,126.9637921
SEB100900063,혜화우체국,37.5860376,127.0006137
SEB100900064,새마을금고,37.587737,126.996518
SEB100900065,광화문새마을금고,37.5793687,126.9711466
SEB100900066,종로4가.종묘공원,37.5706328,126.9944624
SEB100900067,인왕빌딩,37.6079283,126.9577443
SEB100900068,중앙중고,37.5830921,126.9869652
SEB100900069,감사원,37.5862106,126.98529
SEB100900070,명신초.삼선푸르지오.힐스테이트,37.5821062,127.0145562
SEB100900071,영천시장,37.570005,126.9628351
SEB100900072,청련사입구,37.6079803,126.9624312
SEB100900073,한국사회과학자료원,37.5736332,126.9641432
SEB100900074,감나무골공원,37.6124059,126.9699479
SEB100900075,혜화역1번출구,37.5834542,127.0019407
SEB100900076,서울대병원장례식장,37.5805553,126.9974309
SEB100900077,완성빌라,37.603402,126.9575011
SEB100900078,낙원상가,37.5736776,126.9872918
SEB100900079,힐탑,37.6116055,126.9690205
SEB100900080,상명대후문,37.6040255,126.9573354
SEB100900081,수운회관,37.5751598,126.9865172
SEB100900082,넓은마당,37.5752728,126.962888
SEB100900083,화인빌라,37.6129345,126.9685386
SEB100900085,서울대어린이병원응급실.갑상선센터,37.5781188,126.9995029
SEB100900086,헌법재판소.안국역,37.5775584,126.9856755
SEB100900088,무악현대아파트후문,37.576306,126.962001
SEB100900089,박종화고택입구,37.6143102,126.9676873
SEB100900090,이화사거리,37.5764698,127.0020107
SEB100900091,산정빌라,37.6051519,126.9574922
SEB100900092,아름다운가게.정독도서관,37.5788991,126.985022
SEB100900093,쌍용아파트입구.창신역,37.5805112,127.0149635
SEB100900094,천사유치원,37.574648,126.9618603
SEB100900095,보현산신각,37.6134825,126.965779
SEB100900096,원남로터리,37.5762373,126.9975114
SEB100900097,구기빌라,37.6062686,126.9579797
SEB100900098,평창동산림제3초소,37.6172373,126.9770474
SEB100900099,통인시장.종로구보건소,37.580335,126.9687504
SEB100900100,삼청파출소,37.5816451,126.9813258
SEB100900101,종로사우나,37.5738011,126.9877503
SEB100900102,종로도서관,37.5764842,126.9671251
SEB100900103,평창공원지킴터입구,37.6163963,126.9757438
SEB100900104,오거리.한옥마을입구,37.5794684,126.9697392
SEB100900105,정독도서관,37.5801915,126.9802007
SEB100900106,인사동들머리.3.1독립선언터,37.571947,126.9832969
SEB100900107,종로5가.3번출구,37.5714192,127.0020898
SEB100900108,활터앞,37.5768126,126.9653293
SEB100900109,참샘골공원,37.6145722,126.9741212
SEB100900110,성균관대학교,37.5850311,126.9972179
SEB100900111,광화문새마을금고,37.579493,126.9710277
SEB100900112,상명초등학교,37.6009238,126.9567154
SEB100900113,단군성전앞,37.57556,126.9653175
SEB100900114,무애사,37.6139004,126.9718458
SEB100900115,서교빌라,37.601989,126.9571553
SEB100900116,종각역YMCA,37.5703393,126.9850714
SEB100900117,동대문역.2번출구,37.5720494,127.0117218
SEB100900118,종로문화센터,37.574647,126.9646261
SEB100900119,EN갤러리,37.6134063,126.9707007
SEB100900120,경진빌라,37.6020037,126.9578303
SEB100900121,금강제화,37.5705445,126.9874384
SEB100900122,창신초교,37.5760372,127.01572
SEB100900123,교남동새마을금고,37.5714943,126.9623374
SEB100900124,형제봉입구,37.6128643,126.9816861
SEB100900125,현대사거리,37.5792417,126.9866353
SEB100900126,대신중고,37.5726178,126.9616893
SEB100900127,연화정사,37.614649,126.9794938
SEB100900128,이화사거리,37.57532,127.0022812
SEB100900129,삼청공원삼거리.옥호정터,37.5874185,126.9817444
SEB100900131,재동초등학교,37.578791,126.9853617
SEB100900133,카센터.터널앞,37.5741644,126.9658593
SEB100900134,감람산기도원,37.6159439,126.9798729
SEB100900135,금융연수원,37.5858776,126.9818478
SEB100900137,충신시장,37.5749766,127.0054048
SEB100900138,사직동주민센터,37.5762206,126.9689039
SEB100900139,김창열.윤명로화실,37.6163049,126.9783685
SEB100900140,박노수미술관,37.5810265,126.9668944
SEB100900141,삼청동주민센터,37.5846846,126.9822105
SEB100900142,상명대입구,37.600021,126.9569583
SEB100900143,대학로입구.이화사거리,37.5759841,127.0025801
SEB100900144,운현궁,37.5752716,126.9869813
SEB100900145,배화여중고,37.5767556,126.9678156
SEB100900147,감사원,37.5862656,126.9855618
SEB100900148,청룡사.보문파크뷰자이아파트,37.5797846,127.0171508
SEB100900149,강북삼성병원,37.5685315,126.9683376
SEB100900151,혜화초등학교,37.5873892,126.9999909
SEB100900152,상명대입구,37.5998544,126.9574023
SEB100900153,사우디대사관,37.5838633,126.9852486
SEB100900154,서울시교육청,37.5692429,126.9668249
SEB100900155,김종영미술관,37.6132637,126.9781122
SEB100900156,세검정교회,37.5995632,126.9594704
SEB100900157,안국선원.삼거리,37.5827432,126.9852205
SEB100900159,스위스대사관,37.5699887,126.9658057
SEB100900160,보현빌라,37.6152615,126.9782816
SEB100900161,하림각,37.5976847,126.9629663
SEB100900162,북촌한옥마을입구.정세권활동터,37.5812807,126.9851687
SEB100900163,숭인1동주민센터,37.577415,127.0155607
SEB100900164,월암공원,37.5711884,126.963986
SEB100900165,지구촌교회,37.6130468,126.9793481
SEB100900166,부암슈퍼,37.59476,126.9638602
SEB100900167,볼링장,37.5792554,126.9879589
SEB100900168,가회동주민센터,37.5799426,126.9851293
SEB100900169,새마을금고,37.5878406,126.996569
SEB100900170,상명초등학교,37.6009049,126.9568173
SEB100900171,서울국제고등학교,37.5890742,126.9971407
SEB100900172,통일부,37.5875308,126.9861073
SEB100900173,종로센트레빌후문.e편한세상보문아파트,37.5818978,127.0162353
SEB100900174,국립민속박물관,37.5792551,126.9795533
SEB100900177,경복궁역,37.5770722,126.9724733
SEB100900178,삼청공원,37.5882276,126.9816468
SEB100900179,법련사,37.5765879,126.979665
SEB100900180,엄마분식,37.6012424,126.9557163
SEB100900181,부암동주민센터.무계원,37.5929353,126.9637682
SEB100900182,구기터널입구,37.6082046,126.9567768
SEB100900184,청구빌라,37.6046102,126.9569839
SEB100900186,독립문역3번출구,37.5728784,126.9597453
SEB100900187,신학대학교총회본부,37.5739763,126.9634445
SEB100900188,적십자병원후문앞,37.5675295,126.9652272
SEB100900189,안국역2번출구앞,37.5771728,126.9861183
SEB100900191,종로5가역,37.5706713,127.0000249
SEB100900192,동대문종합시장,37.571176,127.00614
SEB100900197,명륜새마을금고,37.5876532,126.9967048
SEB100900198,성균관대학교앞,37.5832597,126.9993359
SEB100900199,성대입구,37.5832668,126.998853
SEB100900200,혜화동로터리,37.5859196,127.0010032
SEB100900201,국민생활관,37.5896275,126.9993137
SEB100900202,서울성곽.성대후문,37.5892576,126.989632
SEB100900203,성대후문.와룡공원,37.5891522,126.989734
SEB100900204,성균관대학교,37.5884638,126.9900035
SEB100900205,동묘역,37.5726943,127.0142453
SEB100900206,종로센트레빌아파트,37.5803534,127.0156926
SEB100900207,창신초등학교,37.5769032,127.0153885
SEB100900210,창신쌍용1단지.종로센트레빌아파트,37.5803228,127.0155692
SEB100900211,종각.공평유적전시관,37.5715937,126.9832427
SEB100900213,조계사,37.5736021,126.9831364
SEB100900214,독립문역,37.5732838,126.9594077
SEB100900215,교남동주민센터,37.5721522,126.96128
SEB100900217,종로1.2.3.4가동주민센터,37.5743837,126.9911314
SEB101000001,남대문세무서.서울백병원,37.5649848,126.9875299
SEB101000002,서울백병원.국가인권위.안중근활동터,37.5643504,126.9878515
SEB101000003,서울역버스환승센터,37.555146,126.972257
SEB101000004,서울역버스환승센터,37.5554462,126.9723557
SEB101000005,서울역버스환승센터,37.5553876,126.9727617
SEB101000006,서울역버스환승센터,37.5554794,126.9728547
SEB101000007,서울역버스환승센터.강우규의거터,37.5556138,126.9729705
SEB101000008,숭례문,37.5586388,126.9737783
SEB101000009,만리동고개,37.551787,126.9626582
SEB101000010,손기정체육공원입구,37.5544459,126.9662339
SEB101000011,서울의료보건고등학교.서울역서부,37.5561691,126.9687868
SEB101000012,서울역서부,37.5563255,126.9693762
SEB101000013,서울역서부,37.5569979,126.9692772
SEB101000014,중림동교차로,37.5583836,126.9691354
SEB101000015,종근당.충정로역,37.5595131,126.9644805
SEB101000016,한국경제신문사.서소문역사공원,37.5602111,126.967868
SEB101000017,한국경제신문사.서소문역사공원,37.5606234,126.9681135
SEB101000018,경찰청.동북아역사재단,37.5630494,126.9691267
SEB101000020,서대문경찰서.농협은행.유관순활동터,37.5649062,126.9677868
SEB101000021,염천교,37.5598597,126.9733602
SEB101000022,숭례문,37.5582968,126.9732932
SEB101000023,숭례문.한국일보,37.5587713,126.9737375
SEB101000025,후암삼거리,37.5533418,126.9760823
SEB101000026,숭례문,37.5587633,126.9743627
SEB101000027,숭례문,37.5584195,126.9740436
SEB101000028,숭례문,37.5580006,126.9736279
SEB101000029,남대문시장악세사리전문상가,37.5586132,126.9762051
SEB101000030,숭례문남산방향,37.5585581,126.975672
SEB101000031,남대문시장,37.561191,126.9800597
SEB101000032,북창동.남대문시장,37.561175,126.97792
SEB101000033,시청앞,37.5623584,126.9765742
SEB101000034,삼성본관앞,37.5620517,126.9759075
SEB101000035,시청앞,37.5627642,126.9761487
SEB101000036,서소문,37.5632067,126.9748872
SEB101000037,서소문,37.5636754,126.9753398
SEB101000039,서울신문사,37.5683632,126.9773647
SEB101000040,우리은행종로지점,37.567519,126.9829289
SEB101000041,롯데백화점,37.5644917,126.9820649
SEB101000042,해운센터.롯데영프라자,37.5628907,126.9815478
SEB101000043,롯데영프라자,37.562885,126.982008
SEB101000045,신세계앞,37.5608492,126.9815255
SEB101000046,남대문시장.회현역,37.5582675,126.977765
SEB101000047,남대문시장.회현역,37.558492,126.9784645
SEB101000048,남산3호터널,37.5584557,126.9826695
SEB101000049,남산3호터널.서울애니메이션센터,37.559526,126.9826359
SEB101000050,명동입구,37.5606538,126.9852407
SEB101000051,퇴계로2가.명동역,37.5608934,126.9844913
SEB101000052,퇴계로3가.한옥마을.한국의집,37.5612508,126.9917771
SEB101000053,퇴계로3가.한옥마을.한국의집,37.5609706,126.9921714
SEB101000054,충무로역2번출구.대한극장앞,37.5612232,126.9949175
SEB101000055,충무로역8번출구.대한극장앞,37.5620371,126.9964921
SEB101000056,초동,37.5633461,126.9931119
SEB101000057,을지로입구.로얄호텔,37.5658757,126.9853902
SEB101000058,을지로입구.시청입구,37.5661382,126.9811712
SEB101000059,을지로2가.기업은행본점.서울노동청,37.5662462,126.9865233
SEB101000060,을지로2가.파인에비뉴,37.5660094,126.9888281
SEB101000061,을지로3가,37.5663556,126.9903755
SEB101000062,을지로3가,37.5661205,126.9913276
SEB101000063,을지로4가,37.566647,126.9962179
SEB101000064,을지로4가.베스트웨스턴국도,37.566401,126.9968473
SEB101000065,중구청앞.덕수중학교,37.5647745,126.9981401
SEB101000066,을지로5가,37.5668182,126.9992585
SEB101000067,을지로5가.중부시장,37.56662,127.001115
SEB101000068,방산시장.훈련원종합체육관,37.5679608,127.0024044
SEB101000069,을지로5가.훈련원종합체육관,37.5658243,127.0025945
SEB101000070,을지로6가.국립중앙의료원,37.5660747,127.0063777
SEB101000071,광희동,37.5650528,127.0072096
SEB101000072,광희동,37.5649951,127.0079579
SEB101000073,을지로6가.국립중앙의료원,37.5664631,127.0058434
SEB101000074,동대문역사문화공원,37.5673541,127.0083555
SEB101000075,동대문역사문화공원,37.5676036,127.0090234
SEB101000077,충무아트센터.스포츠센터.중부소방서,37.5651927,127.0140458
SEB101000078,충무아트센터.스포츠센터.중부소방서,37.5650178,127.0147408
SEB101000079,성동공업고등학교(무궁화회관),37.5683481,127.0157558
SEB101000080,성동공업고등학교앞,37.568695,127.0161294
SEB101000081,신당역.중앙시장앞,37.5657282,127.0187426
SEB101000082,신당역.중앙시장앞,37.565492,127.0194795
SEB101000083,성동고등학교,37.5655637,127.0220571
SEB101000084,성동고등학교,37.5651806,127.0225482
