상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 무교로 26 1층 (무교동)	#힘이나는 커피생활 무교점	커피숍	198118.3003	451773.8196	37.56824786	126.9765986
영업	서울특별시 중구 남대문로 81 롯데백화점 본점 B1층 (소공동)	구테로이테	커피숍	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 세종대로 14 그랜드센트럴(GRAND CENTRAL) 지3층 B306호 (남대문로5가)	지에스25(GS25) 중구센트럴점	편의점	197617.4997	450635.1132	37.55798705	126.9709337
영업	서울특별시 중구 다산로39길 47 1층 101호 (신당동)	주이상스	기타 휴게음식점	201102.3846	451368.2069	37.56459481	127.0103754
영업	서울특별시 중구 퇴계로 210 1층 (필동2가)	담톨	커피숍	199492.9811	450994.4682	37.56122787	126.9921594
영업	서울특별시 중구 동호로 178 1층 (신당동)	씨유 약수역점	편의점	200945.2656	450226.8255	37.55431124	127.0085956
영업	서울특별시 중구 남대문시장4길 28-12 (남창동지상1층 남대문상가 신1층 15호)	CAFE 일오	커피숍	197864.5648	450776.9707	37.55926579	126.9737295
영업	서울특별시 중구 퇴계로34길 28 1층 (필동2가)	카페 윤슬	커피숍	199401.5532	450677.3244	37.55837038	126.9911249
영업	서울특별시 중구 동호로17길 173 1층 (신당동)	다산성곽카페	커피숍	200320.1309	449931.5576	37.55165129	127.0015208
영업	서울특별시 중구 소월로 3 20층 (남창동)	현대그린푸드 에티버스 카페	커피숍	197831.0027	450794.3148	37.55942198	126.9733496
영업	서울특별시 중구 퇴계로88길 63 1층 (신당동)	백억커피 신당점	커피숍	201641.3634	451210.1155	37.56316966	127.0164755
영업	서울특별시 중구 퇴계로18길 34 나동 1층 (남산동1가)	다운트	커피숍	198597.2451	450804.502	37.5595153	126.9820218
영업	서울특별시 중구 손기정로 101 1층 (만리동2가)	손기정문화카페	커피숍	196823.6458	450368.4684	37.55558216	126.9619503
영업	서울특별시 중구 퇴계로73길 42 1층 102호 (신당동)	주식회사 세가국제	커피숍	201167.3368	451647.6127	37.56711215	127.011111
영업	서울특별시 중구 충무로9길 20 1층 (을지로3가)	을지茶움	커피숍	199172.4658	451638.5308	37.56703055	126.988531
영업	서울특별시 중구 장충단로 275 4층 (을지로6가)	투썸플레이스 두타몰점	커피숍	200703.6256	451836.4583	37.56881406	127.0058624
영업	서울특별시 중구 창경궁로5길 8 12층 (산림동)	달토티	커피숍	199713.7573	451660.8027	37.56723158	126.9946579
영업	서울특별시 중구 서소문로 116 B103호 (서소문동)	세븐일레븐 시청역2호선점	편의점	197638.4036	451154.2324	37.56266431	126.9711686
영업	서울특별시 중구 새문안로 16 지하2층 (충정로1가)	컴포즈커피 농협중앙회본점(허재명)	커피숍	197143.1041	451569.7614	37.56640675	126.965561
영업	서울특별시 중구 퇴계로86가길 26 1층 (신당동)	상관없지않나	기타 휴게음식점	201664.0191	451085.5862	37.56204762	127.0167317
영업	서울특별시 중구 마른내로 98 1층 (예관동)	세븐일레븐 중구예관점	편의점	199828.0502	451328.2254	37.56423513	126.9959517
영업	서울특별시 중구 을지로 170 12층 (을지로4가)	(주)푸르웰	커피숍	199647.7502	451566.5792	37.56638261	126.9939108
영업	서울특별시 중구 장충단로13길 20 현대시티타워 지하2층 (을지로6가)	우면관	일반조리판매	200613.5103	451817.5154	37.56864345	127.0048423
영업	서울특별시 중구 남대문로10길 28 (수하동(지상1층 104호))	낙원커피	커피숍	198537.6344	451684.5041	37.56744393	126.9813453
영업	서울특별시 중구 을지로 157 464-4호 (산림동)	세운나	다방	200268.1278	451880.1765	37.56920816	127.0009329
영업	서울특별시 중구 퇴계로6길 17 2층 (회현동1가)	운비차실	전통찻집	198035.0484	450578.3601	37.55747672	126.9756595
영업	서울특별시 중구 명동8길 21-7 지하1층 (명동2가)	이마트24 명동중앙로점	편의점	198620.5002	451181.8387	37.5629151	126.9822842
영업	서울특별시 중구 을지로 281 DDP 팔거리광장 1층 (을지로7가)	푸드셀럽	푸드트럭	201010.2625	451995.1631	37.57024371	127.0093335
영업	서울특별시 중구 퇴계로34길 28 (필동2가 남산골한옥마을)	마마푸드	푸드트럭	199401.5532	450677.3244	37.55837038	126.9911249
영업	서울특별시 중구 한강대로 405 경부고속철도서울민자역사 지하1층 B6호 (봉래동2가)	공차 서울역점	커피숍	197230.2061	450446.6844	37.55628822	126.9665512
영업	서울특별시 중구 왕십리로 407 B1-16호 (신당동 신당 파인힐 하나유보라)	지에스25 신당유보라	편의점	202128.137	451334.4582	37.56428901	127.0219854
영업	서울특별시 중구 세종대로 23 1층 (남대문로5가)	매머드 익스프레스 세종대로점	커피숍	197617.5953	450751.4573	37.5590353	126.9709344
영업	서울특별시 중구 다산로19길 29 1층 (신당동)	퀸즈베리 도넛 하우스	커피숍	200834.0985	450562.1365	37.55733246	127.0073379
영업	서울특별시 중구 장충단로13길 20 현대시티아울렛동대문점 지하2층 (을지로6가)	샌드어스 현대시티아울렛 동대문점	일반조리판매	200613.5103	451817.5154	37.56864345	127.0048423
영업	서울특별시 중구 남대문로 81 롯데백화점 본점 지하1층 (소공동)	프레쎄	기타 휴게음식점	198259.6536	451392.1982	37.56480978	126.9781995
