단지명,위도,경도,geometry,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
한진해모로,37.5637284114639,127.025710739466,POINT (127.025710739466 37.5637284114639),155.76315185597636,신당초등학교
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
서울역센트럴자이,37.5547800420518,126.964458224138,POINT (126.964458224138 37.5547800420518),161.22384425777142,손기정체육공원입구
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
더플레이스충정로,37.558980785321,126.966068233101,POINT (126.966068233101 37.558980785321),152.21828755716365,종근당.충정로역
서제빌딩,37.5643899218959,127.001330851403,POINT (127.001330851403 37.5643899218959),133.71080905767624,베이튼호텔
청계천두산위브더제니스,37.5668675982177,127.017122913186,POINT (127.017122913186 37.5668675982177),190.96654073196694,신당역.중앙시장앞
삼성사이버빌리지,37.5589266608979,126.964320892997,POINT (126.964320892997 37.5589266608979),66.59799483216813,종근당.충정로역
동대문와이즈캐슬,37.5657536581952,127.015443726545,POINT (127.015443726545 37.5657536581952),102.6009616168716,충무아트센터.스포츠센터.중부소방서
쌍용남산플래티넘,37.5594119017486,126.983219915695,POINT (126.983219915695 37.5594119017486),53.1320517975455,남산3호터널.서울애니메이션센터
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
롯데캐슬,37.57081054646992,127.021463886656,POINT (127.021463886656 37.57081054646992),99.42774589932523,황학동롯데캐슬
서울역한라비발디센트럴,37.55457358286571,126.965847056196,POINT (126.965847056196 37.55457358286571),37.0031250698845,손기정체육공원입구
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
진양상가,37.5624227137843,126.995931151636,POINT (126.995931151636 37.5624227137843),65.48284525938637,충무로역8번출구.대한극장앞
리하우스(LEEHAUS),37.5599142889134,126.966632465339,POINT (126.966632465339 37.5599142889134),114.02735679071988,한국경제신문사.서소문역사공원
청구e편한세상,37.5599601596254,127.015451019186,POINT (127.015451019186 37.5599601596254),70.23484133934264,청구역
청구e편한세상,37.5599601596254,127.015451019186,POINT (127.015451019186 37.5599601596254),70.23484133934264,청구역
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
서울역센트럴자이(임대),37.5545760844191,126.963956968884,POINT (126.963956968884 37.5545760844191),201.71038260316837,손기정체육공원입구
롯데캐슬,37.57081054646992,127.021463886656,POINT (127.021463886656 37.57081054646992),99.42774589932523,황학동롯데캐슬
남산트라팰리스,37.5539946799726,126.975612746457,POINT (126.975612746457 37.5539946799726),83.49973589710727,후암삼거리
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
삼정아트테라스정동,37.5632510909133,126.972031493823,POINT (126.972031493823 37.5632510909133),230.68420809566106,서소문KAL빌딩
서울역센트럴자이,37.5547800420518,126.964458224138,POINT (126.964458224138 37.5547800420518),161.22384425777142,손기정체육공원입구
동대문솔하임,37.5677165362185,127.016348082451,POINT (127.016348082451 37.5677165362185),87.4723582497348,성동공업고등학교(무궁화회관)
약수하이츠,37.5551915990934,127.016359379417,POINT (127.016359379417 37.5551915990934),392.9343565790587,신당동대우푸르지오.금호여중
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
진양상가,37.5624227137843,126.995931151636,POINT (126.995931151636 37.5624227137843),65.48284525938637,충무로역8번출구.대한극장앞
청구e편한세상,37.5599601596254,127.015451019186,POINT (127.015451019186 37.5599601596254),70.23484133934264,청구역
충무로헤센스마트,37.5613425706769,126.998598124335,POINT (126.998598124335 37.5613425706769),166.95499565803877,퇴계로5가
충무로헤센스마트,37.5613425706769,126.998598124335,POINT (126.998598124335 37.5613425706769),166.95499565803877,퇴계로5가
노블레스2,37.549630663217,127.005273694994,POINT (127.005273694994 37.549630663217),199.08089827563205,송도병원앞
남산타운,37.5471667734011,127.005677166122,POINT (127.005677166122 37.5471667734011),38.78579684636771,버티고개
(340-127),37.5559723399868,127.012449835838,POINT (127.012449835838 37.5559723399868),97.74350362675005,약수역3번출구.약수하이츠
리하우스(LEEHAUS),37.5599142889134,126.966632465339,POINT (126.966632465339 37.5599142889134),114.02735679071988,한국경제신문사.서소문역사공원
서울역센트럴자이,37.5547800420518,126.964458224138,POINT (126.964458224138 37.5547800420518),161.22384425777142,손기정체육공원입구
롯데캐슬,37.57081054646992,127.021463886656,POINT (127.021463886656 37.57081054646992),99.42774589932523,황학동롯데캐슬
